molecule_number,reactant,TS,H2O
63,-424.377268537,-500.817403330,
64,-424.376256106,-500.818414289,
60,-402.305197822,-478.728966888,
44,-424.378135228,-500.828814494,
70,-761.486079853,-837.926876810,
62,-440.421824262,-516.854461734,
65,-555.976484667,-632.392892636,
66,-745.147640261,-821.587120276,
68,-402.307780125,-478.739101892,
69,-538.932525887,-615.377520579,
61,-500.799577832,-577.221144891,
67,-441.615516227,-518.053145046,
00,,,-76.4487444811
