molecule_number,het_H+,TS,BOH3,delta_E,k_obs_max
64,-248.7611632,-501.2061348,-252.5446122,-0.0996406,-5.73
65,-380.3591232,-632.8039702,-252.5446122,-0.0997652,-6.98
