molecule_number,TS,int,CBOH2
56, -508.89617880, -292.36377005,
54, -546.98354556, -330.45008571,
55, -586.27859345, -369.75287067,
58, -704.24328797, -487.72682843,
50, -1021.4129105, -804.87817685,
57, -625.59350177, -409.06949398,
52, -1021.4224803, -804.88202172,
51, -698.43493712, -481.89718042,
00,,, -216.51957507
