molecule_number,reactant,int,H3Oplus,H2O
52,-729.096488769,-729.501332004,,
54,-254.658326161,-255.043630145,,
55,-293.974707135,-294.365183501,,
57,-333.285822864,-333.657198079,,
61,-500.799246976,-501.195539036,,
60,-402.305197822,-402.706590951,,
58,-411.946971403,-412.324268008,,
56,-216.577414059,-216.942416245,,
51,-406.123420416,-406.527942133,,
50,-729.095858059,-729.489402778,,
00,,,-76.8403699674,-76.4487444811
