molecule_number,k4_TS,k4_reactant,H2O
0,,,-76.44874448
106,-540.1424718,-463.6990625,
125,-614.1749698,-537.7241857,
132,-807.392196,-730.9428943,
143,-807.3851618,-730.9408365,
144,-595.5382273,-519.0837329,
145,-595.5420761,-519.0834745,
146,-729.9162892,-653.4703979,
147,-498.6237868,-422.1792947,
