molecule_number,TS,intermediate,H2O,delta_E
106,-616.1032319,-539.6795617,-76.44874448,0.025074307
134,-638.141095,-561.7207609,-76.44874448,0.028410436
141,-558.5178757,-482.0962853,-76.44874448,0.027154002
143,-883.3478915,-806.9249562,-76.44874448,0.025809153
144,-671.4858666,-595.0644339,-76.44874448,0.027311717
147,-574.5975323,-498.1642511,-76.44874448,0.015463314
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
