molecule_number,k2_TS,k2_int,H2O
144,-671.485866648,-595.064433884,
106,-616.103231916,-539.679561742,
143,-883.347891480,-806.924956152,
134,-638.141094986,-561.720760941,
141,-558.517875740,-482.096285261,
147,-574.597532301,-498.164251134,
000,,,-76.4487444811
